country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Total Cases/1M,Total Deaths/1M,Total Tests,Test/1M,Population,Total Vaccine,Dose/100
USA,34204374,11603,612203,388.0,28103491,48496.0,5488680,5395,102777,1840,486286209,1461188,332802010,297720928,50.2
India,28808372,114537,346784,2683.0,26976611,189481.0,1484977,8944,20687,249,361174142,259358,1392568209,218344384,15.8
Brazil,16907425,65471,472629,1661.0,15290500,50808.0,1144296,8318,79022,2209,49842105,232951,213959658,68919860,32.4
France,5707683,6654,109973,57.0,5406048,13005.0,191662,2525,87263,1681,86584796,1323774,65407534,38087228,56.4
Turkey,5282594,6126,48068,92.0,5154771,7161.0,79755,1147,62017,564,55250625,648640,85179227,29960321,35.5
Russia,5117274,9145,123436,399.0,4729077,8565.0,264761,2300,35052,845,139900000,958268,145992552,30001530,20.6
UK,4511669,5765,127836,13.0,4272579,2019.0,111254,134,66137,1874,186643217,2736036,68216650,66180731,99.1
Italy,4230153,2436,126472,57.0,3908312,7200.0,195369,788,70060,2095,67177549,1112593,60379256,36392761,60.2
Argentina,3939024,23627,80867,456.0,3497500,32363.0,360657,7731,86420,1774,14496978,318056,45579889,13079195,28.9
Germany,3706934,2249,89825,92.0,3533900,6900.0,83209,2036,44113,1069,61380686,730440,84032469,53404798,63.7
Spain,3697987,-1,80196,-1.0,3471163,-1.0,146628,1163,79065,1715,49708830,1062800,46771590,28182345,60.3
Colombia,3547017,28971,91422,532.0,3290596,23496.0,164999,6582,69028,1779,17501504,340596,51384987,10697683,21.0
Iran,2960751,6442,80941,128.0,2537092,14390.0,342718,3808,34837,952,20564209,241967,84987614,3141577,3.7
Poland,2874824,415,74139,38.0,2644273,960.0,156412,484,76037,1961,16215213,428882,37808117,21326996,56.4
Mexico,2429631,2809,228568,206.0,1936266,1725.0,264797,4798,18663,1756,7111318,54624,130186907,32874857,25.5
Ukraine,2213580,1897,51140,86.0,2088712,8330.0,73728,177,50899,1176,10290345,236617,43489487,1265723,2.9
Peru,1980391,4225,186073,260.0,0,0.0,0,2642,59299,5572,13132238,393220,33396660,4145744,12.6
Indonesia,1850206,6594,51449,153.0,1701784,4241.0,96973,-1,6699,186,17192341,62246,276201385,28027750,10.2
South Africa,1691491,5450,56929,97.0,1574223,3248.0,60339,546,28191,949,11840773,197344,60000571,1193352,2.0
Czechia,1663363,323,30157,2.0,1624712,27.0,8494,58,155057,2811,25544970,2381279,10727418,5656413,52.8
Netherlands,1661520,2121,17675,9.0,1520923,6781.0,122922,362,96768,1029,14036639,817507,17170052,9934313,58.0
Chile,1420266,8920,29816,120.0,1342080,8449.0,48370,3213,73710,1547,15131446,785306,19268206,19077745,99.8
Canada,1391174,1666,25712,33.0,1340123,2869.0,25339,981,36563,676,35162931,924156,38048680,24933524,66.1
Philippines,1262273,6955,21732,195.0,1180998,8109.0,59543,1704,11379,196,13665826,123193,110930287,5180721,4.7
Iraq,1221678,3154,16518,30.0,1137695,4348.0,67465,427,29757,402,10646529,259323,41055061,582537,1.4
Romania,1078742,179,30725,113.0,1042551,627.0,5466,329,56424,1607,9201170,481274,19118362,7981963,41.5
Sweden,1078062,-1,14485,-1.0,987471,-1.0,76106,155,106133,1426,10016375,986093,10157638,5400436,53.5
Belgium,1068406,1449,25014,19.0,978751,6837.0,64641,364,91816,2150,14166984,1217471,11636400,6984494,60.3
Pakistan,930511,1923,21189,84.0,860385,4380.0,48937,3452,4138,94,13471172,59911,224852555,7953574,3.6
Portugal,852034,573,17032,3.0,811640,681.0,23362,51,83787,1675,11966284,1176731,10169087,5985025,58.7
Israel,839566,27,6418,1.0,832932,9.0,216,37,90024,688,14739061,1580427,9326000,10591833,122.4
Bangladesh,809314,1447,12801,43.0,749425,1667.0,47088,1161,4869,77,6034260,36305,166208691,10020942,6.1
Hungary,805871,300,29842,24.0,714329,3224.0,61700,70,83618,3096,5897459,611924,9637564,8959570,92.7
Japan,757663,2595,13449,85.0,699741,4731.0,44473,1157,6008,107,14879330,117981,126116737,14775865,11.7
Jordan,739319,304.0,9516,7.0,720190,514.0,9613,540,71800,924,7389739,717664,10296928,1904235,18.7
Serbia,713562,145.0,6909,9.0,700133,565.0,6520,29,81975,794,4205174,483094,8704665,4720552,69.4
Switzerland,697292,-1.0,10832,1.0,656591,-1.0,29869,109,80026,1243,7799402,895117,8713273,4802652,55.5
Austria,646438,271.0,10636,5.0,630458,-1.0,5344,146,71398,1175,44110345,4871897,9054039,4642703,18.2
Malaysia,610574,7452.0,3291,109.0,521676,6105.0,85607,886,18644,100,12476699,380972,32749668,3361316,10.4
Nepal,585100,3540.0,7799,68.0,484373,8243.0,92928,-1,19753,263,3132591,105756,29620894,2827243,9.7
China,91218,24.0,4636,-1.0,86197,10.0,385,9,63,3,160000000,111163,1439323776,726176267,50.2
